objet_social_parent_id,objet_social_id,objet_social_lib,objet_social_parent_lib
011000,011020,"athlétisme  (triathlon, pentathlon, footing, jogging)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011025,"aviron, canoë-kayak (aviron, rafting, canoë-kayak, joutes)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011030,"badminton  (badminton, squash, pelote basque)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011035,"boules  (pétanque, boules)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011040,bowling ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011045,"danse sportive (danse sportive, hip hop, claquettes)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011050,"équitation  (équitation, hippisme, courses camarguaise, landaise)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011055,"escalade, montagne  (escalade, spéléologie, via ferrata, canyonisme, alpinisme)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011060,escrime  (escrime) ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011065,basket-ball ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011070,handball ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011075,"football  (football, futsal)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011080,"rugby  (rugby à 13, à 15)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011085,"volley ball (volley, beach volley)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011090,"autres sports collectifs  (baseball, hockey sur gazon, hockey sur glace, football américain)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011092,"hockey sur glace, sports de glace","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011095,"nautisme, glisse sur eau  (ski nautique, surf, char à voile)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011100,golf  ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011105,"gymnastique  (gymnastique, gymnastique d.entretien, éducation physique, yoga), aérobic","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011110,haltérophilie ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011115,"marche sportive  (randonnée pédestre, raid, trekking, course orientation)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011120,"musculation  (culturisme, musculation)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011125,"natation - baignade  (natation, plongée)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011130,roller - skate  ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011135,"sports aériens  (avion, planeur, ULM, parachutisme)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011140,judo  ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011145,"sports de combat  (boxe, kick box, boxe thaï, lutte)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011150,"autres arts martiaux  (karaté, aïkido, taekwondo)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011155,"sports de neige  (ski alpin, ski de fond, snowboard) sports de montagne","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011160,"sports mécaniques  (sport automobile, moto, trial)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011165,"tennis  (tennis, longue paume)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011170,"tennis de table  (tennis de table, ping-pong)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011175,"tir  (tir à l.arc, tir à balle, ball-trap), javelot","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011180,"cyclisme (cyclisme, vélo, VTT, y compris course d.orientation à vélo, cyclotourisme)","SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011185,"voile  (voile, dériveur, planche à voile)","SPORTS, ACTIVITÉS DE PLEIN AIR"
